pathway;interact1_ensembl;interact2_ensembl
Ras;ENSG00000133818;ENSG00000143344
Ras;ENSG00000133818;ENSG00000237825
Ras;ENSG00000133818;ENSG00000138193
Ras;ENSG00000133818;ENSG00000174791
Ras;ENSG00000133818;ENSG00000017797
Ras;ENSG00000133818;ENSG00000089234
Ras;ENSG00000133818;ENSG00000136237
Ras;ENSG00000068028;ENSG00000156299
Ras;ENSG00000156299;ENSG00000136238
Ras;ENSG00000136238;ENSG00000130669
Ras;ENSG00000136238;ENSG00000067560
Ras;ENSG00000121879;ENSG00000136238
Ras;ENSG00000275199;ENSG00000213341
Ras;ENSG00000213341;ENSG00000109320
Ras;ENSG00000275199;ENSG00000002330
Ras;ENSG00000002330;ENSG00000171552
Ras;ENSG00000275199;ENSG00000184481
Ras;ENSG00000184481;ENSG00000117560
Ras;ENSG00000132155;ENSG00000169032
Ras;ENSG00000169032;ENSG00000100030
Ras;ENSG00000100030;ENSG00000243708
Ras;ENSG00000100030;ENSG00000126767
Ras;ENSG00000100030;ENSG00000134954
Ras;ENSG00000089234;ENSG00000171435
Ras;ENSG00000136237;ENSG00000116473
Ras;ENSG00000160271;ENSG00000006451
Ras;ENSG00000143344;ENSG00000006451
Ras;ENSG00000237825;ENSG00000006451
Ras;ENSG00000006451;ENSG00000107643
Ras;ENSG00000006451;ENSG00000112685
Ras;ENSG00000112685;ENSG00000183735
Ras;ENSG00000183735;ENSG00000162924
Ras;ENSG00000006451;ENSG00000075651
Ras;ENSG00000006451;ENSG00000017797
Ras;ENSG00000017797;ENSG00000070831
Ras;ENSG00000017797;ENSG00000136238
Ras;ENSG00000070831;ENSG00000107643
Ras;ENSG00000174791;ENSG00000097007
Ras;ENSG00000174791;ENSG00000144566
Ras;ENSG00000017797;ENSG00000165527
Ras;ENSG00000165527;ENSG00000136238
Ras;ENSG00000115904;ENSG00000276536
Ras;ENSG00000115904;ENSG00000158186
Ras;ENSG00000172575;ENSG00000276536
Ras;ENSG00000058335;ENSG00000276536
Ras;ENSG00000058335;ENSG00000158186
Ras;ENSG00000058335;ENSG00000126458
Ras;ENSG00000276536;ENSG00000266094
Ras;ENSG00000276536;ENSG00000156299
Ras;ENSG00000276536;ENSG00000121879
Ras;ENSG00000276536;ENSG00000130396
Ras;ENSG00000276536;ENSG00000132155
Ras;ENSG00000276536;ENSG00000089234
Ras;ENSG00000276536;ENSG00000160271
Ras;ENSG00000276536;ENSG00000138193
Ras;ENSG00000276536;ENSG00000174791
Ras;ENSG00000158186;ENSG00000266094
Ras;ENSG00000158186;ENSG00000121879
Ras;ENSG00000158186;ENSG00000130396
Ras;ENSG00000158186;ENSG00000136237
Ras;ENSG00000126458;ENSG00000266094
Ras;ENSG00000126458;ENSG00000121879
Ras;ENSG00000126458;ENSG00000132155
Ras;ENSG00000126458;ENSG00000160271
Ras;ENSG00000126458;ENSG00000138193
Ras;ENSG00000126458;ENSG00000017797
Ras;ENSG00000108061;ENSG00000133818
Ras;ENSG00000133818;ENSG00000108061
Ras;ENSG00000108061;ENSG00000132155
Ras;ENSG00000132155;ENSG00000108061
Ras;ENSG00000174373;ENSG00000006451
Ras;ENSG00000275199;ENSG00000174373
Insulin;ENSG00000095637;ENSG00000236271
Insulin;ENSG00000236271;ENSG00000095637
Insulin;ENSG00000160999;ENSG00000110395
Insulin;ENSG00000107263;ENSG00000110395
Insulin;ENSG00000110395;ENSG00000107263
Insulin;ENSG00000182473;ENSG00000119729
Insulin;ENSG00000119729;ENSG00000182473
Insulin;ENSG00000125733;ENSG00000119729
Insulin;ENSG00000119729;ENSG00000125733
